Produktnummer;Lev.prono;Strekkode;Beskrivelse;Sortimentskode;Skien;Porsgrunn;Kristiansand;Tonsberg;Arendal;Sandefjord;Larvik;Stock
044020218;044020218;5705150022944;MÅN FIX-PRO KOMPRESJONSVINKEL 18MM CU;BL;1.000000;11.000000;.000000;6.000000;.000000;4.000000;10.000000;NULL
044020315;044020315;5705154184167;MÅN FIX-PRO FORKROMMET VINKEL 15MM TIL PEX-RØR;BL;35.000000;5.000000;22.000000;28.000000;19.000000;8.000000;8.000000;NULL
044021463;044021463;5705150022777;MÅN FIX-PRO VINKELOVERGANG M/NIPPEL 22MM X 1/2" CU;BL;3.000000;5.000000;3.000000;2.000000;6.000000;5.000000;7.000000;NULL
044021712;044021712;5705154184631;MÅN FIX-PRO VINKELKOBLING MED NIPPEL TIL KOBBERRØR 3/8"X12MM;BL;14.000000;19.000000;8.000000;17.000000;13.000000;9.000000;23.000000;NULL
044021715;044021715;5705154184174;MÅN FIX-PRO VINKELKOBLING MED NIPPEL TIL KOBBERRØR 1/2"-15MM;BL;17.000000;12.000000;13.000000;15.000000;12.000000;8.000000;7.000000;NULL
044021718;044021718;5705154184181;MÅN xxFIX-PRO VINKELKOBLING MED NIPPEL TIL KOBBERRØR 1/2"-10;UT;4.000000;8.000000;-3.000000;-1.000000;-6.000000;.000000;.000000;NULL
044021722;044021722;5705150027819;FIX-PRO VINKELOVERGANG M/NIPPEL 18MM X 1/2" PEX;BL;NULL;NULL;-1.000000;-4.000000;NULL;11.000000;67.000000;NULL
044023422;044023422;5705150027376;MÅN FIX-PRO VINKELOVERGANG M/MUFFE 18M X 1/2" CU;BL;10.000000;14.000000;6.000000;2.000000;9.000000;3.000000;8.000000;NULL
044023432;044023432;5705150024900;MÅN FIX-PRO VINKELOVERGANG M/MUFFE 18MM 3/4" CU;BL;6.000000;11.000000;10.000000;9.000000;14.000000;7.000000;5.000000;NULL
044023532;044023532;5705150022760;MÅN FIX-PRO VINKELOVERGANG M/MUFFE 18MM 3/4" PEX;BL;2.000000;5.000000;7.000000;7.000000;7.000000;7.000000;.000000;NULL
044030210;044030210;5705154184235;MÅN FIX-PRO FORKROMMET T-STYKKE 10MM TIL KOBBERRØR;BL;14.000000;12.000000;12.000000;14.000000;13.000000;6.000000;18.000000;NULL
044030212;044030212;5705154184242;MÅN FIX-PRO FORKROMMET T-STYKKE 12MM TIL KOBBERRØR;BL;30.000000;14.000000;11.000000;.000000;15.000000;5.000000;7.000000;NULL
044030215;044030215;5705154184259;MÅN FIX-PRO FORKROMMET T-STYKKE 15MM TIL KOBBERRØR;BL;4.000000;6.000000;11.000000;-3.000000;12.000000;4.000000;10.000000;NULL
044030318;044030318;5705150022975;MÅN FIX-PRO KOMPRESJONSKOBLING T-RØR 18MM PEX;BL;3.000000;5.000000;12.000000;5.000000;1.000000;3.000000;4.000000;NULL
044036715;044036715;5705150027826;MÅN xxFIX-PRO T-RØR M/OVERGANGSNIPPEL 15MM X 1/2" PEX;UT;7.000000;7.000000;8.000000;7.000000;1.000000;.000000;2.000000;NULL
044060222;044060222;5705150027642;MÅN FIX-PRO RETT OVERGANGSNIPPEL 22MM 3/4" CU;BL;3.000000;5.000000;.000000;7.000000;9.000000;10.000000;10.000000;NULL
044060332;044060332;5705154184716;MÅN FIX-PRO RETT KOBLING MED NIPPEL TIL PEXXRØR 1/2"X12MM;BL;.000000;NULL;NULL;-7.000000;12.000000;NULL;9.000000;NULL
044060532;044060532;5705150027635;MÅN FIX-PRO RETT OVERGANGSNIPPEL 18MM X 3/4" PEX;BL;10.000000;4.000000;.000000;7.000000;7.000000;7.000000;3.000000;NULL
044062222;044062222;5705150024870;MÅN FIX-PRO RETT OVERGANGSMUFFE 22MM 3/4" CU;BL;2.000000;.000000;.000000;.000000;5.000000;5.000000;11.000000;NULL
044065212;044065212;5705154184761;MÅN FIX-PRO RETT KOBLING MED MUFFE TIL KOBBERRØR 3/8"X12MM;BL;31.000000;9.000000;9.000000;22.000000;19.000000;13.000000;14.000000;NULL
044065216;044065216;5705154184778;MÅN FIX-PRO RETT KOBLING MED MUFFE TIL KOBBERRØR 3/8"X10MM;BL;48.000000;18.000000;18.000000;8.000000;20.000000;.000000;12.000000;NULL
044065532;044065532;5705150027543;MÅN FIX-PRO RETT OVERGANGSMUFFE 18MM 3/4" PEX;BL;11.000000;5.000000;1.000000;.000000;-1.000000;5.000000;9.000000;NULL
044070210;044070210;5705154184440;MÅN FIX-PRO FORKROMMET SAMLER 10MM TIL KOBBERRØR;BL;39.000000;10.000000;5.000000;19.000000;17.000000;3.000000;7.000000;NULL
044070212;044070212;5705154184457;MÅN FIX-PRO FORKROMMET SAMLER 12MM TIL KOBBERRØR;BL;51.000000;17.000000;6.000000;22.000000;20.000000;5.000000;9.000000;NULL
044070218;044070218;5705150027604;MÅN FIX-PRO KOMPRESJONSKOBLING RETT 18MM CU;BL;6.000000;7.000000;16.000000;7.000000;14.000000;6.000000;5.000000;NULL
044070318;044070318;5705150022609;FIX-PRO KOMPRESJONSKOBLING RETT 18MM PEX;BL;15.000000;NULL;4.000000;2.000000;10.000000;8.000000;8.000000;NULL
044093022;044093022;5705150027307;MÅN FIX-PRO KOMPRESJONSKOBLING T-RØR 22MM CU;BL;1.000000;9.000000;17.000000;8.000000;37.000000;7.000000;.000000;NULL
044094515;044094515;5705154184587;MÅN FIX-PRO STØTTEHYLSE 15MM TIL PEXRØR 5PK;BL;18.000000;.000000;14.000000;22.000000;23.200000;9.000000;4.000000;NULL
044096212;044096212;5705154184600;MÅN FIX-PRO KLEMRING 12MM TIL PEX OG KOBBERRØR 2PK;BL;11.000000;26.000000;7.000000;10.000000;35.000000;7.000000;13.000000;NULL
044096215;044096215;5705154184617;MÅN FIX-PRO KLEMRING 15MM TIL PEX OG KOBBERRØR 2PK;BL;33.000000;24.000000;15.000000;13.000000;24.000000;9.000000;10.000000;NULL
044020222;044020222;5705150027710;MÅN FIX-PRO KOMPRESJONSVINKEL 22MM CU;BL;.000000;3.000000;5.000000;10.000000;3.000000;5.000000;7.000000;NULL
