No_;Location;Inventory;Saleable qty
030928;140;.000000;.000000
038479;140;1.000000;1.000000
025679;140;8.000000;8.000000
026154;140;11.000000;11.000000
005689;140;9.000000;9.000000
022853;140;4.000000;4.000000
005022;140;.000000;.000000
005138;140;.000000;.000000
005651;140;8.000000;8.000000
016525;140;.000000;.000000
005177;140;.000000;.000000
008260;140;32.000000;32.000000
017322;140;.000000;.000000
003870;140;1.000000;1.000000
006440;140;.000000;.000000
026073;140;6.000000;6.000000
007312;140;.000000;.000000
028473;140;17.000000;17.000000
016805;140;.000000;.000000
046849;140;3.000000;3.000000
019635;140;33.000000;33.000000
004754;140;.000000;.000000
017293;140;.000000;.000000
002601;140;17.000000;17.000000
003258;140;.000000;.000000
022125;140;7.000000;7.000000
016566;140;.000000;.000000
047406;140;.000000;.000000
005785;140;.000000;.000000
003565;140;15.000000;14.000000
005340;140;.000000;.000000
004386;140;.000000;.000000
016568;140;.000000;.000000
016360;140;.000000;.000000
031148;140;22.000000;22.000000
031150;140;4.000000;4.000000
031222;140;6.000000;6.000000
031426;140;12.000000;12.000000
040673;140;4.000000;4.000000
002698;140;.000000;.000000
019796;140;.000000;.000000
001817;140;.000000;.000000
008291;140;26.000000;26.000000
025730;140;4.000000;4.000000
004420;140;.000000;.000000
041179;140;9.000000;9.000000
046795;140;.000000;.000000
012047;140;2.000000;2.000000
034532;140;8.000000;8.000000
040676;140;8.000000;8.000000
008363;140;32.000000;32.000000
006920;140;1.000000;1.000000
000074;140;.000000;.000000
048808;140;40.000000;40.000000
022532;140;.000000;.000000
025931;140;1.000000;1.000000
003989;140;.000000;.000000
015637;140;.000000;.000000
000149;140;.000000;.000000
028165;140;20.000000;20.000000
004557;140;2.000000;2.000000
019993;140;23.000000;23.000000
020108;140;1.000000;1.000000
017386;140;.000000;.000000
006710;140;1.000000;1.000000
016596;140;.000000;.000000
017907;140;.000000;.000000
038369;140;.000000;.000000
004683;140;.000000;.000000
007298;140;.000000;.000000
007377;140;.000000;.000000
030947;140;.000000;.000000
006113;140;.000000;.000000
002162;140;3.000000;3.000000
015715;140;.000000;.000000
016151;140;.000000;.000000
041394;140;.000000;.000000
042490;140;9.000000;9.000000
040607;140;10.000000;10.000000
008366;140;.000000;.000000
004102;140;.000000;.000000
025975;140;22.000000;22.000000
000631;140;50.000000;50.000000
003823;140;.000000;.000000
