Month;Year;ItemNo;SalesQty
01;2020;000002;120.000000
01;2020;000006;2.000000
01;2020;000020;6.000000
01;2020;000141;104.760000
01;2020;000170;5.000000
01;2020;000173;16.000000
01;2020;000003;18.000000
01;2020;000004;37.000000
01;2020;000233;1.000000
01;2020;000245;1.000000
01;2020;000001;1.000000
01;2020;000019;.000000
01;2020;000143;153.360000
01;2020;000243;1.000000
01;2020;000278;7.000000
01;2020;000279;2.000000
01;2020;000289;2.000000
01;2020;000316;2.000000
01;2020;000318;2.000000
01;2020;000321;2.000000
01;2020;000021;1.000000
01;2020;000229;55.000000
01;2020;000322;9.000000
01;2020;000327;4.000000
01;2020;000142;17.280000
01;2020;000146;59.400000
01;2020;000161;12.600000
01;2020;000172;2.000000
01;2020;000315;8.000000
01;2020;000331;2.000000
01;2020;000346;4.000000
01;2020;000349;7.000000
01;2020;000230;255.000000
01;2020;000281;2.000000
01;2020;000343;1.000000
01;2020;000345;1.000000
01;2020;000351;1.000000
01;2020;000398;10.000000
01;2020;000378;1.000000
01;2020;000400;5.000000
01;2020;000414;1.000000
01;2020;000425;8.000000
01;2020;000317;16.000000
01;2020;000341;4.000000
01;2020;000283;6.000000
01;2020;000311;4.000000
01;2020;000330;1.000000
01;2020;000401;2.000000
01;2020;000427;9.000000
01;2020;000438;1.000000
01;2020;000344;1.000000
01;2020;000350;1.000000
01;2020;000377;1.000000
01;2020;000399;4.000000
01;2020;000402;3.000000
01;2020;000408;1.000000
01;2020;000422;1.000000
01;2020;000433;2.000000
01;2020;000436;1.000000
01;2020;000455;1.000000
01;2020;000456;1.000000
01;2020;000459;1.000000
01;2020;000462;4.000000
01;2020;000483;1.000000
01;2020;000424;2.000000
01;2020;000435;2.000000
01;2020;000426;7.000000
01;2020;000434;5.000000
01;2020;000465;1.000000
01;2020;000466;2.000000
01;2020;000442;2.000000
01;2020;000454;1.000000
01;2020;000463;1.000000
01;2020;000498;4.000000
01;2020;000485;2.000000
01;2020;000487;2.000000
01;2020;000493;1.000000
01;2020;000511;1.000000
01;2020;000499;4.000000
01;2020;000516;1.000000
01;2020;000536;8.000000
01;2020;000544;2.000000
01;2020;000557;6.000000
01;2020;000562;1.000000
01;2020;000439;1.000000
01;2020;000445;1.000000
01;2020;000464;3.000000
01;2020;000482;1.000000
01;2020;000576;2.000000
01;2020;000577;8.000000
01;2020;000587;2.000000
01;2020;000589;2.000000
01;2020;000623;3.000000
01;2020;000627;9.000000
01;2020;000532;8.000000
01;2020;000553;1.000000
01;2020;000555;3.000000
01;2020;000561;1.000000
01;2020;000568;1.000000
01;2020;000572;1.000000
01;2020;000573;2.000000
01;2020;000582;1.000000
01;2020;000592;1.000000
01;2020;000622;2.000000
01;2020;000494;1.000000
01;2020;000542;2.000000
01;2020;000631;26.000000
01;2020;000633;2.000000
01;2020;000653;2.000000
01;2020;000671;5.000000
01;2020;000564;2.000000
01;2020;000599;3.000000
01;2020;000675;1104.000000
01;2020;000679;17.000000
01;2020;000624;1.000000
01;2020;000632;6.000000
01;2020;000630;32.000000
01;2020;000651;5.000000
01;2020;000636;4.000000
01;2020;000637;3.000000
01;2020;000643;1.000000
01;2020;000652;1.000000
01;2020;000710;20.000000
01;2020;000711;6.000000
01;2020;000713;9.000000
01;2020;000714;2.000000
01;2020;000718;1.000000
01;2020;000719;1.000000
01;2020;000530;3.000000
01;2020;000531;4.000000
01;2020;000556;12.000000
01;2020;000570;1.000000
01;2020;000578;6.000000
