ar;ItemNo;SalesQty;SalesAmountExclVat;SalesAmountInclVat;BF
2023;008915;85.000000;5087.540000;6359.425000;1807.060000
2024;025858;2.000000;798.400000;998.000000;134.880000
2023;046764;3.000000;1149.600000;1437.000000;392.400000
2020;004127;724.000000;31521.600000;39402.000000;16006.950000
2020;022260;4.000000;60.800000;76.000000;33.920000
2020;003933;43.000000;16536.140000;20670.175000;8826.240000
2023;045720;34.000000;5332.800000;6666.000000;1495.560000
2022;023262;4.000000;86.400000;108.000000;19.200000
2021;002154;43.000000;8526.400000;10658.000000;3409.830000
2021;028929;29.000000;29807.770000;37259.712500;9701.530000
2020;008301;272.000000;6531.880000;8164.850000;4419.880000
2022;039729;49.000000;98080.150000;122600.187500;18429.150000
2022;039166;6.000000;475.200000;594.000000;215.360000
2023;004431;126.000000;13212.800000;16516.000000;2815.000000
2020;000717;135.000000;38483.440000;48104.300000;16356.940000
2023;034667;53.000000;4197.600000;5247.000000;1590.000000
2023;004633;606.000000;38195.290000;47744.112500;6015.470000
2021;008798;32.000000;1766.400000;2208.000000;890.880000
2020;007974;2.000000;479.200000;599.000000;-39.620000
2022;020004;80.000000;3747.200000;4684.000000;1343.960000
2023;015835;1215.000000;75844.240000;94805.300000;41824.270000
2020;005718;26.000000;730.400000;913.000000;118.880000
2020;022151;1.000000;159.200000;199.000000;69.000000
2022;000577;1.000000;31.200000;39.000000;14.770000
2021;017721;2.000000;227.200000;284.000000;73.200000
2021;008889;13.000000;3421.600000;4277.000000;661.700000
2022;008194;45.000000;18556.800000;23196.000000;-2681.400000
2021;004268;9.000000;488.800000;611.000000;267.590000
2023;047704;1.000000;3119.200000;3899.000000;619.400000
2023;018327;4.000000;92.800000;116.000000;13.920000
2023;031471;66.000000;10939.200000;13674.000000;3335.310000
2023;025865;2.000000;1598.400000;1998.000000;-250.640000
2023;020952;21.000000;487.260000;609.075000;117.220000
2024;031457;1.000000;79.200000;99.000000;29.470000
2020;019742;11.000000;15507.200000;19384.000000;3227.900000
2021;001809;134.000000;15195.150000;18993.937500;7621.570000
2020;003275;72.000000;12947.070000;16183.837500;5423.070000
2020;023281;11.000000;251.200000;314.000000;79.380000
2020;018419;2.000000;1918.720000;2398.400000;-321.280000
2023;042818;13.000000;2381.600000;2977.000000;1032.240000
2022;039765;14.000000;2006.400000;2508.000000;748.440000
2020;003879;63.000000;7170.660000;8963.325000;3422.080000
2021;003693;668.000000;26440.800000;33051.000000;4629.120000
2021;021952;142.000000;436540.200000;545675.250000;125988.840000
2021;010349;91.000000;51962.400000;64953.000000;9392.260000
2022;008133;226.000000;15888.720000;19860.900000;7389.600000
2022;024861;50.000000;17995.100000;22493.875000;6024.380000
2022;028853;2.000000;320.000000;400.000000;-318.840000
2021;000573;6.000000;731.250000;914.062500;82.050000
2022;019855;56.000000;4294.400000;5368.000000;1319.680000
2022;038352;39.000000;29479.000000;36848.750000;7087.300000
2020;020444;38.000000;2371.200000;2964.000000;1138.100000
2023;046917;1.000000;103.200000;129.000000;46.140000
2023;026357;33.000000;4402.640000;5503.300000;1421.750000
2020;005765;731.000000;216732.000000;270915.000000;61583.350000
2021;000599;19.000000;407.200000;509.000000;190.100000
2024;042826;8.000000;313.600000;392.000000;202.240000
2022;042923;6.000000;595.200000;744.000000;219.000000
2024;021668;2.000000;398.400000;498.000000;157.020000
2021;023202;250.000000;29106.400000;36383.000000;15663.040000
2021;002166;34.000000;2637.600000;3297.000000;1423.460000
2022;023020;36.000000;27164.000000;33955.000000;10361.600000
2020;009989;2.000000;10391.200000;12989.000000;2456.570000
2020;020345;83.000000;349617.600000;437022.000000;121361.600000
2021;008031;156.000000;17013.110000;21266.387500;12731.790000
2024;015484;9.000000;824.800000;1031.000000;268.690000
2021;028142;3.000000;69.600000;87.000000;43.840000
2023;048245;3.000000;93.600000;117.000000;30.960000
2020;027458;17.000000;3386.400000;4233.000000;487.900000
2020;026124;15.000000;948.000000;1185.000000;318.490000
2021;000345;83.000000;1125.600000;1407.000000;195.440000
2022;008647;79.000000;127697.600000;159622.000000;12746.560000
2022;021319;1.000000;13.600000;17.000000;2.400000
2024;028477;1.000000;959.200000;1199.000000;-20.330000
2023;021639;15.000000;12648.860000;15811.075000;6013.660000
2024;004549;3.000000;405.600000;507.000000;142.800000
2022;002678;1.000000;42.720000;53.400000;7.380000
2021;028430;59.000000;12032.800000;15041.000000;4699.100000
2020;008057;183.000000;25630.480000;32038.100000;20725.990000
2024;015607;2.000000;1758.400000;2198.000000;507.160000
2020;017348;12.000000;918.400000;1148.000000;38.420000
2022;002532;18.000000;806.400000;1008.000000;433.260000
2023;003866;47.000000;13305.600000;16632.000000;3544.980000
2022;021185;18.000000;1713.600000;2142.000000;556.500000
2022;020704;2.000000;1630.400000;2038.000000;472.160000
2022;008083;64.000000;819.200000;1024.000000;317.440000
2024;026024;-2.460000;-352.270000;-440.337500;-27.550000
2022;024575;11.000000;40065.600000;50082.000000;-291.560000
2023;021942;70.000000;11046.870000;13808.587500;3705.270000
2021;025984;27.000000;1061.000000;1326.250000;33.960000
2023;028117;8.000000;108.800000;136.000000;53.120000
2020;022930;3.000000;4317.600000;5397.000000;928.480000
2021;025961;79.000000;3661.400000;4576.750000;1663.320000
2023;031218;24.000000;940.800000;1176.000000;437.280000
2021;004608;355.000000;16176.800000;20221.000000;2104.600000
2024;008052;12.000000;729.520000;911.900000;441.280000
2021;031371;22.000000;1038.400000;1298.000000;496.320000
2023;031425;4.000000;155.200000;194.000000;5.160000
2023;000462;8.000000;97.600000;122.000000;16.320000
2022;002465;16.000000;29828.000000;37285.000000;1011.960000
2021;026622;4.000000;188.800000;236.000000;-51.240000
2021;008207;926.000000;24439.320000;30549.150000;17151.700000
2022;008366;23.000000;1440.800000;1801.000000;818.440000
2020;006011;16.000000;547.200000;684.000000;120.360000
2021;002768;155.000000;18444.000000;23055.000000;6174.400000
2024;022220;1.000000;253.600000;317.000000;-2.580000
2023;040981;274.320000;93483.070000;116853.837500;30637.510000
2024;040498;1.000000;86.400000;108.000000;-.240000
2021;004599;64.000000;4036.000000;5045.000000;1020.320000
2020;006404;31.000000;5724.320000;7155.400000;2145.670000
2020;023007;172.000000;17315.690000;21644.612500;7835.320000
2020;015392;15.000000;5008.000000;6260.000000;1820.260000
2023;030964;5.000000;11516.000000;14395.000000;-13360.200000
2020;021912;27.000000;6335.200000;7919.000000;2582.530000
2020;017640;6.000000;331.200000;414.000000;126.600000
2020;006116;250.000000;12984.790000;16230.987500;5834.550000
2020;008586;9.000000;219.200000;274.000000;130.100000
2023;039162;.000000;.000000;.000000;.000000
2023;006716;18.000000;81585.400000;101981.750000;16585.960000
2021;001361;6.000000;539.200000;674.000000;284.200000
2023;018534;27.000000;624.740000;780.925000;217.580000
2024;002368;.000000;.000000;.000000;.000000
2020;008362;312.000000;9647.200000;12059.000000;2853.030000
2022;000641;3.000000;163.200000;204.000000;29.790000
2021;003679;132.000000;18560.800000;23201.000000;10060.660000
2024;023078;2.000000;478.400000;598.000000;109.520000
2021;004207;34.000000;780.080000;975.100000;386.610000
2024;003659;1.000000;44.000000;55.000000;-2.280000
2022;020327;79.000000;241778.400000;302223.000000;50880.560000
2021;003738;293.000000;6851.830000;8564.787500;2646.750000
2022;018642;406.250000;60709.200000;75886.500000;14811.180000
2020;028231;4.000000;60.800000;76.000000;42.880000
2022;026064;86.440000;32474.850000;40593.562500;9990.070000
2020;017887;15.000000;5691.680000;7114.600000;-33.820000
2022;038439;883.486100;264006.620000;330008.275000;39180.370000
2023;019268;41.000000;6135.200000;7669.000000;2653.070000
2023;027319;23.000000;2084.800000;2606.000000;767.550000
2024;002923;1.000000;143.200000;179.000000;73.600000
2022;005696;1087.000000;93124.040000;116405.050000;31111.920000
2022;042412;5.000000;1052.000000;1315.000000;381.450000
2023;042837;182.000000;16625.600000;20782.000000;7697.080000
2022;026093;8.000000;1017.600000;1272.000000;382.880000
2023;048661;3.000000;93.600000;117.000000;37.920000
2023;000415;1.000000;360.000000;450.000000;108.840000
2023;047115;11.000000;970.400000;1213.000000;330.860000
2020;019987;544.000000;15482.160000;19352.700000;7312.880000
2022;003649;46.000000;6752.000000;8440.000000;758.090000
2021;026564;13.000000;269.960000;337.450000;50.650000
2021;003910;53.000000;66638.400000;83298.000000;10409.700000
2023;039882;29.000000;3539.200000;4424.000000;1276.380000
2021;004454;353.000000;337772.360000;422215.450000;83531.170000
2021;027486;11.000000;14751.200000;18439.000000;188.300000
2023;045808;5.000000;989.600000;1237.000000;301.600000
2020;021846;12.000000;5029.220000;6286.525000;1712.060000
2023;026601;120.000000;4570.400000;5713.000000;1619.880000
2021;027305;141.000000;8872.800000;11091.000000;4187.370000
2021;025525;22.000000;3786.560000;4733.200000;1726.700000
2023;022225;17.090000;194.520000;243.150000;56.260000
2021;025273;12.000000;21670.400000;27088.000000;2545.280000
2022;040488;17.000000;2354.400000;2943.000000;784.620000
2023;002384;16.000000;19523.200000;24404.000000;5682.080000
2020;008092;18.000000;259.200000;324.000000;97.920000
2022;006713;67.000000;26306.400000;32883.000000;2191.680000
2020;004033;57.000000;4180.800000;5226.000000;1929.480000
2021;031194;3.000000;3198.400000;3998.000000;888.400000
2020;021176;1.000000;159.200000;199.000000;21.440000
2022;041406;2.000000;190.400000;238.000000;87.800000
